Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
6037401311,14000US06037401311,Census Tract 4013.11,"Census Tract 4013.11, Los Angeles County, California",ca,140,0,ACSSF,4953,,,,,6,37,,,,401311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2119,76,60,108,87,44,19,0,99,29,142,261,260,276,160,290,208,3.59,2.83,5.1,4.11,2.08,0.9,0,4.67,1.37,6.7,12.32,12.27,13.03,7.55,13.69,9.82
6037401312,14000US06037401312,Census Tract 4013.12,"Census Tract 4013.12, Los Angeles County, California",ca,140,0,ACSSF,4954,,,,,6,37,,,,401312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1938,99,126,185,47,77,117,91,21,14,99,149,293,151,199,135,135,5.11,6.5,9.55,2.43,3.97,6.04,4.7,1.08,0.72,5.11,7.69,15.12,7.79,10.27,6.97,6.97
6037401500,14000US06037401500,Census Tract 4015,"Census Tract 4015, Los Angeles County, California",ca,140,0,ACSSF,4955,,,,,6,37,,,,401500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1853,60,78,87,103,109,51,70,94,49,114,124,224,143,309,75,163,3.24,4.21,4.7,5.56,5.88,2.75,3.78,5.07,2.64,6.15,6.69,12.09,7.72,16.68,4.05,8.8
6037401601,14000US06037401601,Census Tract 4016.01,"Census Tract 4016.01, Los Angeles County, California",ca,140,0,ACSSF,4956,,,,,6,37,,,,401601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2185,65,133,134,163,101,30,84,29,82,138,166,359,170,115,183,233,2.97,6.09,6.13,7.46,4.62,1.37,3.84,1.33,3.75,6.32,7.6,16.43,7.78,5.26,8.38,10.66
6037401602,14000US06037401602,Census Tract 4016.02,"Census Tract 4016.02, Los Angeles County, California",ca,140,0,ACSSF,4957,,,,,6,37,,,,401602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1942,43,46,51,93,66,125,47,75,64,160,279,205,141,215,208,124,2.21,2.37,2.63,4.79,3.4,6.44,2.42,3.86,3.3,8.24,14.37,10.56,7.26,11.07,10.71,6.39
6037401603,14000US06037401603,Census Tract 4016.03,"Census Tract 4016.03, Los Angeles County, California",ca,140,0,ACSSF,4958,,,,,6,37,,,,401603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1282,32,60,82,63,82,74,34,35,30,114,141,194,111,73,105,52,2.5,4.68,6.4,4.91,6.4,5.77,2.65,2.73,2.34,8.89,11,15.13,8.66,5.69,8.19,4.06
6037401701,14000US06037401701,Census Tract 4017.01,"Census Tract 4017.01, Los Angeles County, California",ca,140,0,ACSSF,4959,,,,,6,37,,,,401701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1676,9,154,84,83,74,28,106,56,95,80,151,76,147,115,212,206,0.54,9.19,5.01,4.95,4.42,1.67,6.32,3.34,5.67,4.77,9.01,4.53,8.77,6.86,12.65,12.29
6037401703,14000US06037401703,Census Tract 4017.03,"Census Tract 4017.03, Los Angeles County, California",ca,140,0,ACSSF,4960,,,,,6,37,,,,401703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479,69,54,95,67,76,34,26,22,86,153,184,224,114,143,80,52,4.67,3.65,6.42,4.53,5.14,2.3,1.76,1.49,5.81,10.34,12.44,15.15,7.71,9.67,5.41,3.52
6037401704,14000US06037401704,Census Tract 4017.04,"Census Tract 4017.04, Los Angeles County, California",ca,140,0,ACSSF,4961,,,,,6,37,,,,401704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,92,124,141,163,117,76,46,84,89,156,73,269,249,128,112,89,4.58,6.18,7.02,8.12,5.83,3.78,2.29,4.18,4.43,7.77,3.64,13.4,12.4,6.37,5.58,4.43
6037401800,14000US06037401800,Census Tract 4018,"Census Tract 4018, Los Angeles County, California",ca,140,0,ACSSF,4962,,,,,6,37,,,,401800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,63,11,93,83,78,129,55,23,119,119,147,414,337,268,332,479,2.29,0.4,3.38,3.02,2.84,4.69,2,0.84,4.33,4.33,5.35,15.05,12.25,9.75,12.07,17.42
